,cap_shape,cap_surface,cap_color,bruises,odor,gill_attachment,gill_spacing,gill_size,gill_color,stalk_shape,stalk_surface_above_ring,stalk_surface_below_ring,stalk_color_above_ring,stalk_color_below_ring,veil_color,ring_number,ring_type,spore_print_color,population,habitat
5425,f,s,g,t,f,f,c,b,w,t,f,s,w,w,w,o,p,h,s,g
1982,x,y,w,t,l,f,c,b,k,e,s,s,w,w,w,o,p,k,n,m
5362,f,s,n,t,n,f,c,b,e,e,s,s,e,e,w,t,e,w,c,w
2733,x,y,g,t,n,f,c,b,n,t,s,s,w,p,w,o,p,k,y,d
7447,k,y,e,f,s,f,c,n,b,t,k,k,w,w,w,o,e,w,v,p
3181,x,f,p,f,c,f,c,n,u,e,s,s,w,w,w,o,p,k,v,d
3559,f,f,g,f,f,f,c,b,p,e,k,k,n,n,w,o,l,h,v,d
2340,x,y,g,t,n,f,c,b,u,t,s,s,p,w,w,o,p,n,v,d
21,x,y,n,t,p,f,c,n,n,e,s,s,w,w,w,o,p,n,v,g
6468,x,s,e,f,y,f,c,n,b,t,k,k,w,p,w,o,e,w,v,d
2050,x,f,w,f,n,f,w,b,k,t,f,s,w,w,w,o,e,n,a,g
7392,k,s,n,f,s,f,c,n,b,t,s,k,w,w,w,o,e,w,v,l
1357,f,f,w,f,n,f,w,b,p,t,s,s,w,w,w,o,e,k,a,g
5313,f,y,b,t,n,f,c,b,e,e,s,s,w,e,w,t,e,w,c,w
3393,x,f,g,f,c,f,c,n,n,e,s,s,w,w,w,o,p,n,s,d
2589,f,f,n,t,n,f,c,b,p,t,s,s,p,g,w,o,p,n,v,d
2950,x,f,g,t,n,f,c,b,p,t,s,s,p,p,w,o,p,k,y,d
2445,x,y,e,t,n,f,c,b,p,t,s,s,g,p,w,o,p,n,y,d
7398,b,s,g,f,n,f,w,b,p,e,k,k,w,w,w,t,p,w,s,g
2633,f,y,g,t,n,f,c,b,w,t,s,s,g,g,w,o,p,n,v,d
4601,f,f,y,f,f,f,c,b,g,e,k,k,p,n,w,o,l,h,v,g
983,x,f,n,f,n,f,w,b,k,t,s,s,w,w,w,o,e,n,s,g
7380,k,s,n,f,f,f,c,n,b,t,s,s,w,p,w,o,e,w,v,d
6359,f,s,n,f,f,f,c,n,b,t,k,k,w,p,w,o,e,w,v,p
230,x,f,g,f,n,f,c,n,n,e,s,s,w,w,w,o,p,k,y,u
3465,x,y,y,f,f,f,c,b,h,e,k,k,n,p,w,o,l,h,y,d
6009,f,y,n,f,f,f,c,n,b,t,s,k,p,p,w,o,e,w,v,p
2968,x,y,e,t,n,f,c,b,p,t,s,s,g,g,w,o,p,n,y,d
2585,x,y,g,t,n,f,c,b,p,t,s,s,p,p,w,o,p,n,v,d
4130,x,y,y,f,f,f,c,b,g,e,k,k,b,b,w,o,l,h,v,g
1907,x,f,n,t,n,f,c,b,w,t,s,s,w,p,w,o,p,n,v,d
1361,f,y,n,t,p,f,c,n,w,e,s,s,w,w,w,o,p,k,v,u
3747,f,y,n,t,n,f,c,b,u,t,s,s,g,g,w,o,p,n,v,d
3194,f,y,e,t,n,f,c,b,u,t,s,s,g,p,w,o,p,k,y,d
799,x,y,n,t,l,f,c,b,w,e,s,y,w,w,w,o,p,n,s,p
2938,x,f,n,t,n,f,c,b,u,t,s,s,p,w,w,o,p,n,y,d
714,b,y,y,t,l,f,c,b,k,e,s,s,w,w,w,o,p,k,s,g
3817,f,f,g,t,n,f,c,b,w,t,s,s,w,w,w,o,p,k,v,d
405,x,y,y,t,l,f,c,b,n,e,s,s,w,w,w,o,p,k,s,m
631,b,y,y,t,a,f,c,b,k,e,s,s,w,w,w,o,p,k,n,m
1346,f,y,n,t,p,f,c,n,k,e,s,s,w,w,w,o,p,n,v,g
3735,f,y,e,t,n,f,c,b,w,t,s,s,p,p,w,o,p,n,y,d
4216,f,s,g,t,f,f,c,b,h,t,s,s,w,w,w,o,p,h,v,u
4256,f,f,y,f,f,f,c,b,h,e,k,k,p,b,w,o,l,h,v,g
7659,k,f,w,f,n,f,w,b,w,e,s,k,w,w,w,t,p,w,s,g
5892,f,s,w,t,f,f,c,b,h,t,f,f,w,w,w,o,p,h,v,u
4190,f,f,y,f,f,f,c,b,h,e,k,k,n,b,w,o,l,h,v,d
6334,x,s,e,f,s,f,c,n,b,t,k,s,p,w,w,o,e,w,v,l
5286,f,s,g,t,f,f,c,b,h,t,s,s,w,w,w,o,p,h,v,g
3324,f,y,g,t,n,f,c,b,n,t,s,s,g,w,w,o,p,n,v,d
142,s,f,n,f,n,f,c,n,k,e,s,s,w,w,w,o,p,n,v,u
4861,x,y,y,f,f,f,c,b,g,e,k,k,b,b,w,o,l,h,v,d
3814,x,s,p,f,c,f,w,n,g,e,s,s,w,w,w,o,p,k,s,d
5132,x,y,n,f,s,f,c,n,b,t,s,s,w,p,w,o,e,w,v,d
6319,x,y,e,f,y,f,c,n,b,t,s,s,p,w,w,o,e,w,v,l
7248,k,y,e,f,s,f,c,n,b,t,s,k,w,p,w,o,e,w,v,l
4109,f,y,g,t,n,f,c,b,w,t,s,s,w,g,w,o,p,k,y,d
3615,f,y,g,t,n,f,c,b,n,t,s,s,w,w,w,o,p,k,y,d
1891,x,f,w,f,n,f,w,b,h,t,f,f,w,w,w,o,e,n,a,g
5897,f,s,g,t,f,f,c,b,h,t,s,s,w,w,w,o,p,h,s,u
4685,x,y,g,f,f,f,c,b,h,e,k,k,b,n,w,o,l,h,y,p
6351,f,y,n,f,f,f,c,n,b,t,s,s,p,p,w,o,e,w,v,p
7915,f,s,n,f,n,a,c,b,o,e,s,s,o,o,o,o,p,o,v,l
4553,x,y,y,f,f,f,c,b,h,e,k,k,n,p,w,o,l,h,v,d
996,x,y,y,t,l,f,c,b,n,e,s,s,w,w,w,o,p,n,s,m
4962,f,y,y,f,f,f,c,b,h,e,k,k,p,p,w,o,l,h,y,d
4092,f,y,n,t,n,f,c,b,n,t,s,s,w,w,w,o,p,n,y,d
7895,x,s,g,f,n,f,w,b,g,e,k,k,w,w,w,t,p,w,n,g
7890,b,s,w,f,n,f,w,b,g,e,s,k,w,w,w,t,p,w,s,g
3760,f,y,e,t,n,f,c,b,w,t,s,s,w,p,w,o,p,n,v,d
2856,x,y,e,t,n,f,c,b,u,t,s,s,w,w,w,o,p,n,y,d
7100,x,y,c,f,m,a,c,b,y,e,k,y,c,c,w,n,n,w,c,d
5379,x,y,n,f,s,f,c,n,b,t,s,k,p,w,w,o,e,w,v,p
5840,f,s,w,t,n,f,c,b,w,e,s,s,w,w,w,t,p,r,v,g
1459,f,s,w,t,p,f,c,n,k,e,s,s,w,w,w,o,p,n,s,u
5442,x,y,g,f,f,f,c,b,h,e,k,k,p,n,w,o,l,h,v,p
968,x,s,n,f,n,f,w,b,k,t,f,f,w,w,w,o,e,k,s,g
5745,x,y,n,f,s,f,c,n,b,t,k,s,p,w,w,o,e,w,v,d
7755,k,y,n,f,s,f,c,n,b,t,k,s,w,p,w,o,e,w,v,d
5958,x,y,y,f,f,f,c,b,g,e,k,k,n,b,w,o,l,h,y,g
6627,x,s,e,f,s,f,c,n,b,t,s,k,w,p,w,o,e,w,v,l
7884,k,s,n,f,y,f,c,n,b,t,k,s,p,p,w,o,e,w,v,l
6823,x,s,n,f,y,f,c,n,b,t,s,s,p,p,w,o,e,w,v,p
7732,k,s,n,f,y,f,c,n,b,t,k,s,p,w,w,o,e,w,v,l
2532,x,y,n,t,n,f,c,b,n,t,s,s,p,p,w,o,p,k,y,d
567,f,s,g,f,n,f,w,b,k,t,s,f,w,w,w,o,e,k,s,g
7080,f,s,e,f,s,f,c,n,b,t,s,k,p,p,w,o,e,w,v,d
1462,f,s,w,f,n,f,w,b,k,t,f,s,w,w,w,o,e,k,s,g
5610,f,s,w,t,n,f,c,b,r,e,s,s,w,w,w,t,p,r,v,g
6571,x,s,e,f,s,f,c,n,b,t,k,k,p,p,w,o,e,w,v,d
7143,b,f,g,f,n,f,w,b,p,e,s,k,w,w,w,t,p,w,n,g
2684,x,f,e,t,n,f,c,b,p,t,s,s,w,w,w,o,p,k,y,d
4931,x,y,e,t,n,f,c,b,e,e,s,s,e,e,w,t,e,w,c,w
3154,f,f,g,t,n,f,c,b,n,t,s,s,w,p,w,o,p,k,y,d
1153,f,s,g,f,n,f,w,b,h,t,f,s,w,w,w,o,e,k,a,g
3801,x,s,g,f,c,f,c,n,p,e,s,s,w,w,w,o,p,k,s,d
6624,f,s,e,f,f,f,c,n,b,t,k,s,p,p,w,o,e,w,v,p
5868,x,y,n,f,s,f,c,n,b,t,s,k,p,w,w,o,e,w,v,l
3651,f,y,n,t,n,f,c,b,p,t,s,s,w,p,w,o,p,k,v,d
6182,f,s,n,f,f,f,c,n,b,t,k,s,p,w,w,o,e,w,v,d
4110,f,f,y,f,f,f,c,b,p,e,k,k,p,n,w,o,l,h,y,p
6133,f,y,e,f,y,f,c,n,b,t,k,s,w,w,w,o,e,w,v,p
198,x,y,w,t,l,f,c,b,n,e,s,s,w,w,w,o,p,n,s,m
2651,x,f,e,t,n,f,c,b,w,t,s,s,g,g,w,o,p,k,v,d
3338,f,y,n,t,n,f,c,b,n,t,s,s,p,g,w,o,p,n,y,d
7404,x,s,g,f,n,f,w,b,g,e,s,s,w,w,w,t,p,w,s,g
335,x,f,n,t,n,f,c,b,p,t,s,s,p,w,w,o,p,k,y,d
7782,b,s,n,f,n,a,c,b,y,e,s,s,o,o,o,o,p,o,v,l
2477,x,y,g,t,n,f,c,b,u,t,s,s,w,g,w,o,p,k,y,d
522,f,y,y,t,a,f,c,b,p,e,s,y,w,w,w,o,p,n,y,p
2681,x,y,n,t,n,f,c,b,n,t,s,s,g,p,w,o,p,n,y,d
5694,x,y,n,f,y,f,c,n,b,t,k,k,w,w,w,o,e,w,v,d
954,f,f,n,f,n,f,w,b,h,t,f,s,w,w,w,o,e,n,s,g
5761,x,y,n,f,y,f,c,n,b,t,k,s,w,p,w,o,e,w,v,l
7123,k,s,w,f,n,f,w,b,w,e,s,k,w,w,w,t,p,w,n,g
4147,x,f,y,f,f,f,c,b,h,e,k,k,b,n,w,o,l,h,v,d
1600,x,y,g,t,n,f,c,b,n,t,s,s,p,g,w,o,p,k,y,d
796,b,y,y,t,l,f,c,b,n,e,s,s,w,w,w,o,p,k,n,g
7554,k,s,n,f,s,f,c,n,b,t,s,s,p,w,w,o,e,w,v,l
5737,x,y,b,t,n,f,c,b,w,e,s,s,e,e,w,t,e,w,c,w
6940,f,y,n,f,y,f,c,n,b,t,s,k,w,w,w,o,e,w,v,l
7815,k,s,e,f,s,f,c,n,b,t,s,s,w,w,w,o,e,w,v,l
6176,f,y,n,f,f,f,c,n,b,t,k,s,w,w,w,o,e,w,v,l
3317,f,y,g,t,n,f,c,b,p,t,s,s,p,g,w,o,p,n,v,d
7794,k,s,e,f,s,f,c,n,b,t,s,k,p,p,w,o,e,w,v,d
6535,x,s,n,f,y,f,c,n,b,t,s,s,w,p,w,o,e,w,v,d
5329,x,s,w,t,f,f,c,b,w,t,s,s,w,w,w,o,p,h,v,g
1602,f,f,w,f,n,f,w,b,k,t,s,f,w,w,w,o,e,n,s,g
3834,x,f,g,f,f,f,c,b,g,e,k,k,p,p,w,o,l,h,v,d
3670,x,s,p,f,c,f,c,n,g,e,s,s,w,w,w,o,p,k,s,d
1429,f,y,n,t,p,f,c,n,p,e,s,s,w,w,w,o,p,k,v,u
2158,f,f,n,t,n,f,c,b,w,t,s,s,p,p,w,o,p,n,y,d
4475,x,y,y,f,f,f,c,b,h,e,k,k,n,b,w,o,l,h,y,g
5133,x,y,n,f,y,f,c,n,b,t,k,s,p,p,w,o,e,w,v,d
3824,f,y,e,t,n,f,c,b,u,t,s,s,w,p,w,o,p,k,y,d
5180,x,s,b,t,f,f,c,b,h,t,f,s,w,w,w,o,p,h,v,u
1105,f,s,w,f,n,f,w,b,n,t,f,s,w,w,w,o,e,k,a,g
1089,x,y,y,t,l,f,c,b,w,e,s,s,w,w,w,o,p,k,s,g
3715,f,y,e,t,n,f,c,b,p,t,s,s,w,w,w,o,p,k,v,d
6573,x,s,e,f,y,f,c,n,b,t,k,k,p,w,w,o,e,w,v,p
1299,f,s,w,f,n,f,w,b,n,t,s,s,w,w,w,o,e,n,a,g
6053,f,s,e,f,y,f,c,n,b,t,s,k,p,p,w,o,e,w,v,l
8044,f,s,n,f,n,a,c,b,n,e,s,s,o,o,n,o,p,y,c,l
4425,f,f,y,f,f,f,c,b,p,e,k,k,p,n,w,o,l,h,v,d
62,b,s,y,t,l,f,c,b,g,e,s,s,w,w,w,o,p,n,s,m
3262,x,s,p,f,c,f,w,n,p,e,s,s,w,w,w,o,p,n,v,d
6728,x,s,e,f,s,f,c,n,b,t,k,s,w,p,w,o,e,w,v,d
5451,x,s,g,t,f,f,c,b,w,t,s,f,w,w,w,o,p,h,s,g
5740,x,s,g,t,f,f,c,b,p,t,s,s,w,w,w,o,p,h,v,g
387,x,s,n,f,n,f,w,b,n,t,s,s,w,w,w,o,e,k,a,g
2747,x,y,n,t,n,f,c,b,u,t,s,s,w,w,w,o,p,k,y,d
2904,x,y,g,t,n,f,c,b,n,t,s,s,w,w,w,o,p,n,y,d
1848,f,f,g,t,n,f,c,b,p,t,s,s,p,w,w,o,p,k,v,d
1158,f,f,w,f,n,f,w,b,n,t,s,f,w,w,w,o,e,n,s,g
4943,x,f,y,f,f,f,c,b,g,e,k,k,b,n,w,o,l,h,v,d
5996,k,y,b,t,n,f,c,b,e,e,s,s,w,w,w,t,e,w,c,w
1515,f,f,g,f,n,f,w,b,n,t,f,f,w,w,w,o,e,n,a,g
8000,b,s,n,f,n,a,c,b,n,e,s,s,o,o,o,o,p,n,c,l
7522,b,s,n,f,n,a,c,b,y,e,s,s,o,o,n,o,p,b,c,l
4062,f,y,e,t,n,f,c,b,p,t,s,s,w,w,w,o,p,k,y,d
1319,x,s,w,f,n,f,w,b,p,t,s,s,w,w,w,o,e,k,s,g
4897,f,y,y,f,f,f,c,b,h,e,k,k,n,n,w,o,l,h,y,p
3889,x,f,g,f,f,f,c,b,h,e,k,k,n,b,w,o,l,h,v,d
4142,f,y,e,t,n,f,c,b,w,t,s,s,p,g,w,o,p,k,v,d
5355,f,y,y,f,f,f,c,b,h,e,k,k,p,b,w,o,l,h,y,g
4303,f,f,g,f,f,f,c,b,g,e,k,k,p,n,w,o,l,h,y,d
8121,f,s,n,f,n,a,c,b,n,e,s,s,o,o,o,o,p,b,c,l
4978,x,y,y,f,f,f,c,b,p,e,k,k,p,b,w,o,l,h,v,d
2635,f,y,e,t,n,f,c,b,p,t,s,s,p,g,w,o,p,n,v,d
2398,x,y,e,t,n,f,c,b,u,t,s,s,g,g,w,o,p,n,y,d
1175,x,f,g,f,n,f,c,n,p,e,s,s,w,w,w,o,p,k,y,u
4129,f,f,e,t,n,f,c,b,p,t,s,s,g,g,w,o,p,k,y,d
991,x,s,g,f,n,f,w,b,p,t,s,f,w,w,w,o,e,k,a,g
1461,x,s,w,f,n,f,w,b,n,t,f,f,w,w,w,o,e,k,s,g
3022,f,f,e,t,n,f,c,b,w,t,s,s,g,g,w,o,p,n,y,d
7227,k,y,e,f,s,f,c,n,b,t,k,k,p,p,w,o,e,w,v,p
1242,x,s,w,t,p,f,c,n,p,e,s,s,w,w,w,o,p,k,s,g
3258,x,f,p,f,c,f,c,n,g,e,s,s,w,w,w,o,p,n,v,d
8060,k,s,n,f,s,f,c,n,b,t,k,s,p,p,w,o,e,w,v,d
4777,x,s,p,t,n,f,c,b,e,e,s,s,w,w,w,t,e,w,c,w
4568,f,y,g,f,f,f,c,b,g,e,k,k,p,n,w,o,l,h,v,p
3031,f,f,g,t,n,f,c,b,w,t,s,s,w,p,w,o,p,n,y,d
1617,f,f,g,f,n,f,w,b,k,t,s,s,w,w,w,o,e,n,a,g
2547,x,f,g,t,n,f,c,b,w,t,s,s,w,p,w,o,p,n,y,d
4153,x,y,g,f,f,f,c,b,p,e,k,k,b,b,w,o,l,h,y,p
492,x,s,n,t,p,f,c,n,k,e,s,s,w,w,w,o,p,n,v,u
4832,f,f,y,f,f,f,c,b,p,e,k,k,b,p,w,o,l,h,v,p
5598,x,y,c,f,n,f,w,n,w,e,s,f,w,n,w,o,e,w,v,l
2581,x,y,g,t,n,f,c,b,p,t,s,s,p,g,w,o,p,n,v,d
5950,x,f,y,f,f,f,c,b,p,e,k,k,n,n,w,o,l,h,v,p
4720,f,f,y,f,f,f,c,b,g,e,k,k,n,p,w,o,l,h,y,g
82,f,f,g,f,n,f,c,n,n,e,s,s,w,w,w,o,p,n,y,u
7866,x,s,n,f,n,a,c,b,o,e,s,s,o,o,o,o,p,b,v,l
6928,x,y,p,t,n,f,c,b,w,e,s,s,w,w,w,t,p,w,y,p
1260,f,y,w,t,p,f,c,n,p,e,s,s,w,w,w,o,p,k,v,g
8036,k,s,n,f,n,a,c,b,n,e,s,s,o,o,n,o,p,b,v,l
3434,f,f,e,t,n,f,c,b,p,t,s,s,g,w,w,o,p,n,v,d
7200,k,f,g,f,n,f,w,b,w,e,s,s,w,w,w,t,p,w,n,g
7698,k,f,w,f,n,f,w,b,w,e,s,k,w,w,w,t,p,w,n,g
5423,b,y,b,t,n,f,c,b,g,e,s,s,w,w,w,t,p,r,v,m
188,b,y,y,t,l,f,c,b,g,e,s,s,w,w,w,o,p,n,n,g
3887,x,s,w,f,c,f,c,n,n,e,s,s,w,w,w,o,p,n,s,d
1448,x,f,n,t,n,f,c,b,n,t,s,s,p,g,w,o,p,k,v,d
6783,f,s,n,f,y,f,c,n,b,t,s,s,p,w,w,o,e,w,v,p
6039,f,s,n,f,y,f,c,n,b,t,k,k,p,p,w,o,e,w,v,d
3070,f,y,g,t,n,f,c,b,u,t,s,s,w,w,w,o,p,k,v,d
1636,f,s,w,t,p,f,c,n,p,e,s,s,w,w,w,o,p,n,v,g
2405,x,y,n,t,n,f,c,b,w,t,s,s,w,w,w,o,p,n,v,d
2971,x,f,g,t,n,f,c,b,u,t,s,s,p,p,w,o,p,k,v,d
7745,f,s,n,f,n,a,c,b,o,e,s,s,o,o,n,o,p,b,c,l
205,x,s,w,t,p,f,c,n,k,e,s,s,w,w,w,o,p,n,v,u
6007,f,y,e,f,y,f,c,n,b,t,s,s,w,w,w,o,e,w,v,p
8048,k,s,n,f,y,f,c,n,b,t,s,k,w,p,w,o,e,w,v,d
7196,f,s,e,f,f,f,c,n,b,t,s,s,w,w,w,o,e,w,v,d
5874,x,y,p,t,n,f,c,b,w,e,s,s,e,w,w,t,e,w,c,w
7492,f,y,n,f,f,f,c,n,b,t,k,k,p,w,w,o,e,w,v,d
3480,f,y,g,t,n,f,c,b,u,t,s,s,p,p,w,o,p,k,v,d
3994,x,f,g,f,c,f,c,n,u,e,s,s,w,w,w,o,p,n,v,d
566,x,y,y,t,a,f,c,b,g,e,s,s,w,w,w,o,p,n,n,g
959,x,y,y,t,l,f,c,b,k,e,s,s,w,w,w,o,p,n,n,m
3968,x,f,y,f,f,f,c,b,p,e,k,k,p,n,w,o,l,h,y,p
7136,x,f,g,f,n,f,w,b,p,e,k,k,w,w,w,t,p,w,n,g
5368,f,s,w,t,f,f,c,b,h,t,s,s,w,w,w,o,p,h,s,u
7675,k,s,e,f,y,f,c,n,b,t,s,k,w,w,w,o,e,w,v,l
2853,f,f,g,t,n,f,c,b,n,t,s,s,g,p,w,o,p,n,v,d
3868,x,f,w,f,c,f,w,n,u,e,s,s,w,w,w,o,p,k,v,d
1716,x,y,w,t,l,f,c,b,w,e,s,s,w,w,w,o,p,k,n,g
5771,x,y,n,f,y,f,c,n,b,t,k,k,p,p,w,o,e,w,v,l
597,b,y,w,t,l,f,c,b,g,e,s,s,w,w,w,o,p,k,s,m
3861,f,f,e,t,n,f,c,b,w,t,s,s,p,g,w,o,p,k,v,d
656,f,f,w,f,n,f,w,b,k,t,s,s,w,w,w,o,e,n,s,g
6971,f,s,n,f,f,f,c,n,b,t,k,k,w,p,w,o,e,w,v,d
5247,x,y,y,f,f,f,c,b,p,e,k,k,p,p,w,o,l,h,v,p
1737,x,f,n,t,n,f,c,b,u,t,s,s,g,p,w,o,p,k,v,d
4824,x,y,e,t,n,f,c,b,w,e,s,s,e,e,w,t,e,w,c,w
1273,f,f,n,f,n,f,w,b,k,t,f,s,w,w,w,o,e,n,a,g
3389,x,y,g,f,f,f,c,b,g,e,k,k,p,p,w,o,l,h,y,d
3092,f,y,e,t,n,f,c,b,u,t,s,s,g,g,w,o,p,n,y,d
2695,x,f,e,t,n,f,c,b,n,t,s,s,g,g,w,o,p,n,y,d
1559,f,s,n,f,n,f,w,b,h,t,s,f,w,w,w,o,e,k,s,g
4797,f,y,g,f,f,f,c,b,g,e,k,k,n,n,w,o,l,h,y,p
5104,x,y,n,f,s,f,c,n,b,t,k,k,w,w,w,o,e,w,v,p
5124,f,s,w,t,f,f,c,b,h,t,f,f,w,w,w,o,p,h,v,g
4351,x,y,y,f,f,f,c,b,g,e,k,k,n,n,w,o,l,h,v,p
